ID_Comentario,Fecha,Producto,Canal_Feedback,Comentario,Rating,Cliente_Tipo,Región,Sentimiento_Clasificado,Tema_Principal_Extraído
1,2024-06-03,Tarjeta Oro Premium,Email,"Perdí dinero con las inversiones, pésimo asesoramiento",1,Existente,Este,,
2,2024-03-26,Tarjeta Oro Premium,Email,Documentación excesiva y procesos muy burocráticos,1,Nuevo,Este,,
3,2024-12-24,Crédito Hipotecario,App Móvil,"Apertura de cuenta rápida online, pero luego piden muchos documentos físicos",3,Existente,Norte,,
4,2024-09-14,Cuenta Digital,App Móvil,Plataforma de inversión robusta pero falta más información educativa,3,Existente,Norte,,
5,2024-03-23,Tarjeta Oro Premium,Email,"La tarjeta se bloquea sin razón, tengo que llamar siempre",1,Existente,Norte,,
6,2024-11-06,Tarjeta Oro Premium,Sitio Web,"Atención 24/7 excelente, siempre resuelven mis dudas rápido",4,Nuevo,Norte,,
7,2024-01-11,Seguro Familiar,Call Center,"Atención presencial excelente, pero por teléfono son muy lentos",3,Existente,Sur,,
8,2024-11-24,Seguro Familiar,App Móvil,Documentación excesiva y procesos muy burocráticos,1,Existente,Sur,,
9,2024-07-27,Tarjeta Oro Premium,Sucursal,"Apertura de cuenta rápida online, pero luego piden muchos documentos físicos",3,Existente,Sur,,
10,2024-07-07,Cuenta Digital,Sitio Web,"La app es muy intuitiva y fácil de usar, me encanta la funcionalidad de transferencias",4,Existente,Oeste,,
11,2024-06-16,Cuenta Digital,Email,"Seguro con cobertura amplia y precio justo, lo recomiendo",5,Existente,Norte,,
12,2024-12-21,Inversión Smart,Email,"La tarjeta se bloquea sin razón, tengo que llamar siempre",2,Existente,Sur,,
13,2024-03-06,Inversión Smart,Call Center,"La app es muy intuitiva y fácil de usar, me encanta la funcionalidad de transferencias",5,Existente,Este,,
14,2024-06-13,Crédito Hipotecario,Call Center,"La app es muy intuitiva y fácil de usar, me encanta la funcionalidad de transferencias",5,Nuevo,Oeste,,
15,2024-01-10,Tarjeta Oro Premium,Sitio Web,Buenos productos financieros pero el servicio al cliente es lento,3,Nuevo,Oeste,,
16,2024-05-16,Seguro Familiar,App Móvil,"Seguro con cobertura amplia y precio justo, lo recomiendo",4,Existente,Norte,,
17,2024-05-04,Inversión Smart,Sitio Web,"La app es muy intuitiva y fácil de usar, me encanta la funcionalidad de transferencias",4,Nuevo,Norte,,
18,2024-02-19,Crédito Hipotecario,Sucursal,"El proceso de apertura de cuenta fue súper rápido, todo digital",4,Nuevo,Este,,
19,2024-03-01,Crédito Hipotecario,Sitio Web,Sistema siempre en mantenimiento cuando lo necesito,1,Existente,Este,,
20,2024-09-27,Tarjeta Oro Premium,Sitio Web,"La app está bien diseñada pero se cuelga mucho, deberían mejorar la estabilidad",3,Existente,Oeste,,
21,2024-08-05,Crédito Hipotecario,Sitio Web,"El seguro no cubre lo que prometen, puras letra pequeñas",2,Nuevo,Centro,,
22,2024-06-28,Inversión Smart,Sucursal,"La app está bien diseñada pero se cuelga mucho, deberían mejorar la estabilidad",3,Existente,Oeste,,
23,2024-11-12,Seguro Familiar,Sitio Web,Plataforma de inversión robusta pero falta más información educativa,3,Existente,Centro,,
24,2024-09-27,Seguro Familiar,Email,"Seguro con cobertura amplia y precio justo, lo recomiendo",5,Existente,Centro,,
25,2024-04-02,Seguro Familiar,Call Center,"La app está bien diseñada pero se cuelga mucho, deberían mejorar la estabilidad",3,Nuevo,Oeste,,
26,2024-07-14,Cuenta Digital,Sitio Web,"El proceso de apertura de cuenta fue súper rápido, todo digital",5,Nuevo,Oeste,,
27,2024-06-26,Crédito Hipotecario,Call Center,Documentación excesiva y procesos muy burocráticos,2,Nuevo,Este,,
28,2024-01-25,Inversión Smart,Sucursal,"La tarjeta tiene beneficios increíbles, cashback en todos lados",5,Existente,Norte,,
